type_nomenclature_code,cd_nomenclature,mnemonique,label_default,definition_default,label_fr,definition_fr,cd_nomenclature_broader,hierarchy
HABITAT_STATUS,1,Favorable,Favorable,État de l'habitat favorable,Favorable,État de l'habitat favorable,0,.001
HABITAT_STATUS,2,Défavorable inadéquat,Défavorable inadéquat,État de l'habitat défavorable inadéquat,Défavorable inadéquat,État de l'habitat défavorable inadéquat,0,.002
HABITAT_STATUS,3,Défavorable,Défavorable,État de l'habitat défavorable,Défavorable,État de l'habitat défavorable,0,.003
INCLINE_TYPE,0,0,0° - Plat,Plat (0),Plat (0),Plat (0),0,.001
INCLINE_TYPE,1,2.5,0+-5° - Labourable,Labourable (>0-5°),Labourable (>0-5°),Labourable (>0-5°),0,.002
INCLINE_TYPE,2,7.5,05-10° - Fauchable,Fauchable (5-10°),Fauchable (5-10°),Fauchable (5-10°),0,.003
INCLINE_TYPE,3,12.5,10-15° - Haut d'un cône de déjection torrentiel,Fauchable (5-10°)Haut d'un cône de déjection torrentiel (10-15°),Fauchable (5-10°)Haut d'un cône de déjection torrentiel (10-15°),Fauchable (5-10°)Haut d'un cône de déjection torrentiel (10-15°),0,.004
INCLINE_TYPE,4,17.5,15-20° - Haut d'un cône d'avalanche,Haut d'un cône d'avalanche (15-20°),Haut d'un cône d'avalanche (15-20°),Haut d'un cône d'avalanche (15-20°),0,.005
INCLINE_TYPE,5,22.5,20-25° - Pied d'éboulis,Pied d'éboulis (20-25°),Pied d'éboulis (20-25°),Pied d'éboulis (20-25°),0,.006
INCLINE_TYPE,6,30,25-35° - Tablier d'éboulis,Tablier d'éboulis (25-35°),Tablier d'éboulis (25-35°),Tablier d'éboulis (25-35°),0,.007
INCLINE_TYPE,7,37.5,35-40° - Sommet d'éboulis,Sommet d'éboulis (35-40°),Sommet d'éboulis (35-40°),Sommet d'éboulis (35-40°),0,.008
INCLINE_TYPE,8,45,40-50° - Rochillon (sans les mains),Rochillon (sans les mains) (40-50°),Rochillon (sans les mains) (40-50°),Rochillon (sans les mains) (40-50°),0,.009
INCLINE_TYPE,9,55,50-60° - Rochillon (avec les mains),Rochillon (avec les mains) (50-60°),Rochillon (avec les mains) (50-60°),Rochillon (avec les mains) (50-60°),0,.010
INCLINE_TYPE,10,90,60° et plus - Vires et barres,Vires et barres (>60°),Vires et barres (>60°),Vires et barres (>60°),0,.011
PHENOLOGY_TYPE,1,1 - Stade végétatif,Stade végétatif,Stade végétatif,Stade végétatif,Stade végétatif,0,.001
PHENOLOGY_TYPE,2,2 - Stade boutons floraux,Stade boutons floraux,Stade boutons floraux,Stade boutons floraux,Stade boutons floraux,0,.002
PHENOLOGY_TYPE,3,3 - Début de floraison,Début de floraison,Début de floraison,Début de floraison,Début de floraison,0,.003
PHENOLOGY_TYPE,4,4 - Pleine floraison,Pleine floraison,Pleine floraison,Pleine floraison,Pleine floraison,0,.004
PHENOLOGY_TYPE,5,5 - Fin de floraison et maturation des fruits,Fin de floraison et maturation des fruits,Fin de floraison et maturation des fruits,Fin de floraison et maturation des fruits,Fin de floraison et maturation des fruits,0,.005
PHENOLOGY_TYPE,6,6 - Dissémination,Dissémination,Dissémination,Dissémination,Dissémination,0,.006
PHENOLOGY_TYPE,7,7 - Stade de décrépitude,Stade de décrépitude,Stade de décrépitude,Stade de décrépitude,Stade de décrépitude,0,.007
PHENOLOGY_TYPE,8,8 - Stade végétatif permanent,Stade végétatif permanent ,Stade végétatif permanent,Stade végétatif permanent,Stade végétatif permanent,0,.008
